"","ITS2.type.profile.UID","Clade","Majority.ITS2.sequence","Associated.species","ITS2.profile.abundance.local","ITS2.profile.abundance.DB","ITS2.type.profile","Sequence.accession...SymPortal.UID","Average.defining.sequence.proportions.and..stdev."
"52",1662853,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",4,48,"C3-C6a-C3y","32-4676-2414","0.873[0.025]-0.083[0.017]-0.044[0.009]"
"53",1666871,"C","C3an","None",3,85,"C21/C3an","1354-41","0.551[0.037]-0.449[0.037]"
"54",1666948,"C","C7","None",2,31,"C7","3332","1.000[0.000]"
"55",1663759,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",2,865,"C1-C1b-C1c-C42.2-C1bh-C1br-C3-C1cb","2-308-4-32-1-831-848-832","0.692[0.002]-0.121[0.004]-0.067[0.003]-0.035[0.005]-0.033[0.001]-0.019[0.002]-0.018[0.000]-0.014[0.000]"
"56",1662934,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",2,16,"C3-C1-C6a-C3y","32-2-4676-2414","0.710[0.155]-0.172[0.173]-0.072[0.028]-0.046[0.011]"
"57",1665273,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,18,"C3-C1bp-C3ag-C3mo-C21ef","32-13282-13275-11299-8520","0.902[nan]-0.040[nan]-0.033[nan]-0.017[nan]-0.007[nan]"
"58",1666603,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare,Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,5,"C3/C1/C1c-C3de","2-32-308-2554","0.524[nan]-0.336[nan]-0.115[nan]-0.025[nan]"
"59",1665859,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,130,"C3-C3de-C21-C3an-C3bb-C3fc-C21ae-C3s-C3b","32-2554-38767-982-1354-41-38269-12353-80","0.523[nan]-0.135[nan]-0.081[nan]-0.069[nan]-0.053[nan]-0.040[nan]-0.038[nan]-0.032[nan]-0.030[nan]"
"60",1665217,"C","C3xs","None",1,40,"C1nw/C3xs","21974-8064","0.524[nan]-0.476[nan]"
"61",1666008,"C","C3bb","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,29,"C3/C3an/C21/C3bb-C3de-C3s","982-41-32-1354-38269-2554","0.302[nan]-0.267[nan]-0.213[nan]-0.169[nan]-0.036[nan]-0.013[nan]"
"62",1663078,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,39,"C1/C3-C1c-C1b-C42.2-C1bh","2-308-32-1-4-831","0.647[nan]-0.155[nan]-0.081[nan]-0.051[nan]-0.040[nan]-0.026[nan]"
"63",1666924,"C","C66","None",1,68,"C66","14180","1.000[nan]"
"64",1665525,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare",1,7,"C1-C1c-C1b-C1x-C1lb-C3uu","2-308-862-4-866-864","0.704[nan]-0.132[nan]-0.055[nan]-0.042[nan]-0.037[nan]-0.030[nan]"
"65",1665530,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare",1,57,"C1-C1lb-C1x-C1c-C3uu-C1b-C3aac-C1qn","2-308-862-4-864-871-866-879","0.672[nan]-0.130[nan]-0.056[nan]-0.046[nan]-0.044[nan]-0.022[nan]-0.021[nan]-0.011[nan]"
"66",1667585,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,40,"D1-D4-D1c-D2","853-854-2308-855","0.651[nan]-0.257[nan]-0.061[nan]-0.031[nan]"
"67",1669179,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,135,"D1-D4-D4c-D1c-D2-D1k-D17d","853-854-1730-855-12730-2308-2582","0.686[nan]-0.162[nan]-0.059[nan]-0.058[nan]-0.014[nan]-0.011[nan]-0.010[nan]"
"68",1668415,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,1,"D1-D4-D4c-D17aq-D17ap-D17ag","853-854-1730-2102-2131-2897","0.651[nan]-0.182[nan]-0.087[nan]-0.044[nan]-0.030[nan]-0.007[nan]"
"69",1667391,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,449,"D1/D4/D2-D4c-D17d-D17c-D1r-D17e","853-854-855-1730-2582-944-2587-1759","0.665[nan]-0.151[nan]-0.057[nan]-0.052[nan]-0.028[nan]-0.020[nan]-0.014[nan]-0.013[nan]"
"70",1669206,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,45,"D1/D4-D4c-D1c-D17d-D17e-D17j","853-854-1730-2308-2582-2587-1768","0.593[nan]-0.237[nan]-0.071[nan]-0.047[nan]-0.027[nan]-0.014[nan]-0.011[nan]"
"71",1668181,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,623,"D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j","853-854-1730-2582-2308-2587-944-1768-1759","0.534[nan]-0.207[nan]-0.065[nan]-0.047[nan]-0.046[nan]-0.036[nan]-0.026[nan]-0.023[nan]-0.017[nan]"
"72",1667936,"D","D1","Durusdinium trenchii,Durusdinium glynnii,Durusdinium trenchii",1,62,"D1-D4-D4c-D1c-D2-D1hg","853-854-1730-2308-855-44215","0.620[nan]-0.211[nan]-0.084[nan]-0.051[nan]-0.025[nan]-0.008[nan]"
"73",1668885,"G","G3b/G3bd","None",7,13,"G3b/G3al/G3bd-G3ay","56961/1337518-1337491-1337492","0.534[0.185]-0.182[0.082]-0.154[0.043]/0.130[0.193]"
"74",1925856,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",11,16,"A3/A4-A4a-A4fe-A4fo-A4d-A4fn","22385/29206-40166-318716-29900-136549-59064","0.373[0.149]/0.303[0.115]-0.122[0.055]-0.061[0.019]-0.050[0.027]-0.047[0.017]-0.044[0.011]"
"75",1925854,"A","A3/A4/A13/A4a","Symbiodinium natans,Symbiodinium necroappetens,Symbiodinium tridacnidorum",10,22,"A3/A4/A4a/A13-A4d","22385/29206/8181/40166-29900","0.361[0.210]/0.251[0.107]/0.184[0.174]/0.158[0.102]-0.046[0.026]"
"76",1925833,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",8,20,"A3/A4-A4a-A4fe","22385/29206-40166-318716","0.441[0.239]/0.379[0.154]-0.117[0.064]-0.063[0.052]"
"77",1925840,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",8,13,"A3/A4-A4a-A4d","22385/29206-40166-29900","0.503[0.241]/0.331[0.180]-0.114[0.057]-0.053[0.032]"
"78",1925836,"A","A3/A4","Symbiodinium natans,Symbiodinium necroappetens,Symbiodinium tridacnidorum",7,30,"A3/A13/A4-A4a","22385/29206-40166-8181","0.544[0.263]/0.232[0.173]-0.119[0.064]-0.106[0.123]"
"79",1925567,"A","A3bb/A3bt","None",6,341,"A3bb/A3bt","","0.565[0.067]/0.435[0.067]"
"80",1925835,"A","A3/A4/A4a","Symbiodinium natans,Symbiodinium tridacnidorum",5,11,"A3/A4/A4a-A4d-A4av","22385/29206/40166-29900-40178","0.444[0.162]/0.268[0.098]/0.181[0.069]-0.074[0.033]-0.033[0.010]"
"81",1925414,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",5,31,"A3/A4/A4a","22385/29206-40166","0.571[0.356]/0.264[0.195]-0.165[0.170]"
"82",1925169,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",4,61,"A3-A3m","22385-363106","0.961[0.007]-0.039[0.007]"
"83",1925829,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",3,24,"A3-A3ah-A3ga","22385-36733-6483645","0.932[0.016]-0.043[0.004]-0.025[0.011]"
"84",1925832,"A","A4a","None",3,7,"A4a-A4-A4d-A4av","40166-29206-29900-40178","0.494[0.014]-0.234[0.007]-0.153[0.004]-0.118[0.007]"
"85",1925834,"A","A4","None",3,4,"A4-A4a-A4d","29206-40166-29900","0.523[0.001]-0.282[0.003]-0.195[0.004]"
"86",1925837,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",3,9,"A3-A3gc-A3gb","22385-22428-50864","0.940[0.014]-0.031[0.007]-0.029[0.008]"
"87",1925838,"A","A4","None",3,7,"A4-A4fe-A4fo-A4fn-A4au-A4bk","29206-136549-318716-59064-37992-29353","0.324[0.014]-0.217[0.003]-0.209[0.006]-0.142[0.010]-0.058[0.007]-0.051[0.006]"
"88",1925830,"A","A4","None",2,6,"A4-A4a-A4fl","29206-40166-30201","0.699[0.002]-0.256[0.004]-0.046[0.002]"
"89",1925839,"A","A4","None",2,6,"A4-A4fq-A4fp-A4bk","29206-6483646-3105550-29353","0.757[0.013]-0.158[0.010]-0.047[0.004]-0.038[0.019]"
"90",1925339,"A","A4","None",2,25,"A4/A4a","29206-40166","0.524[0.004]-0.476[0.004]"
"91",1925853,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",2,10,"A3-A4-A13-A4fe-A4fo","22385-29206-318716-8181-136549","0.825[0.152]-0.081[0.081]-0.039[0.045]-0.030[0.010]-0.025[0.016]"
"92",1925975,"A","A4","None",2,5,"A4-A4fe","29206-318716","0.807[0.003]-0.193[0.003]"
"93",1925994,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",2,233,"A3","22385","1.000[0.000]"
"94",1926001,"A","A13","Symbiodinium necroappetens",2,82,"A13","8181","1.000[0.000]"
"95",1925682,"A","A4","None",1,19,"A4/A4a-A4au","29206-40166-37992","0.694[nan]-0.283[nan]-0.023[nan]"
"96",1925249,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",1,6,"A3-A3t-A3ad","22385-35445-35231","0.969[nan]-0.023[nan]-0.008[nan]"
"97",1925855,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",1,7,"A3/A4-A4fe-A4fo","22385-29206-318716-136549","0.716[nan]-0.144[nan]-0.080[nan]-0.060[nan]"
"98",1925857,"A","A4","None",1,7,"A4-A4fe-A4bk-A4au","29206-318716-29353-37992","0.608[nan]-0.202[nan]-0.114[nan]-0.077[nan]"
"99",1926774,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",4,8,"B1-B14d-B1jp-B1jn-B1jo","4946-31037-693411-697953-2533813","0.568[0.178]-0.153[0.063]-0.121[0.054]-0.093[0.047]-0.064[0.036]"
"100",1926779,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",4,12,"B1/B1be","4946-29476","0.909[0.036]-0.091[0.036]"
"101",1926797,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",4,9,"B1-B1jp-B1az","4946-31037-89135","0.869[0.108]-0.086[0.085]-0.044[0.024]"
"102",1926784,"B","B5","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",3,6,"B5/B1-B5ci","29665-4946-43614","0.601[0.079]-0.249[0.134]-0.149[0.072]"
"103",1926309,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",3,73,"B1-B1g-B1s-B1bz","4946-29275-51798-53344","0.891[0.056]-0.045[0.021]-0.039[0.026]-0.025[0.012]"
"104",1926905,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",3,184,"B1","4946","1.000[0.000]"
"105",1926796,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",2,5,"B1-B1s-B1g","4946-29275-51798","0.906[0.011]-0.048[0.019]-0.047[0.009]"
"106",1926841,"B","B5","None",2,8,"B5-B5ay-B1io-B1in","29665-37591-37592-37590","0.782[0.075]-0.105[0.040]-0.075[0.033]-0.038[0.003]"
"107",1926679,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,7,"B1/B14d","4946-693411","0.947[nan]-0.053[nan]"
"108",1926773,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,6,"B1-B1jm","4946-6483638","0.945[nan]-0.055[nan]"
"109",1926777,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,8,"B1-B14d-B1jp-B1be-B1jn-B1jo","4946-693411-31037-697953-2533813-29476","0.358[nan]-0.266[nan]-0.165[nan]-0.128[nan]-0.050[nan]-0.032[nan]"
"110",1926287,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,5,"B1-B1as","4946-25829","0.871[nan]-0.129[nan]"
"111",1926295,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,16,"B1-B1o-B1g","4946-29213-29275","0.950[nan]-0.045[nan]-0.005[nan]"
"112",1926304,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,10,"B1-B1s","4946-51798","0.988[nan]-0.012[nan]"
"113",1926825,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,2,"B1-B14d-B1x-B1be-B14b-B1bh","4946-693411-29476-53205-90035-29495","0.459[nan]-0.314[nan]-0.089[nan]-0.078[nan]-0.032[nan]-0.027[nan]"
"114",1926862,"B","B19","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,13,"B19/B1-B19ak","37844-4946-38312","0.664[nan]-0.272[nan]-0.063[nan]"
"115",1926896,"B","B8a","None",1,12,"B8a-B8h","29324-2161244","0.853[nan]-0.147[nan]"
"116",1926929,"B","B2d","None",1,8,"B2d","45468","1.000[nan]"
"117",1926427,"B","B19","None",1,30,"B19-B19ai-B19x-B19an","37844-1913913-44466-1913914","0.685[nan]-0.186[nan]-0.110[nan]-0.019[nan]"
"118",1926961,"B","B11","None",1,5,"B11","62770","1.000[nan]"
"119",1926974,"B","B7","Breviolum endomadracis",1,45,"B7","62765","1.000[nan]"
"120",1927000,"B","B17","None",1,1,"B17","62773","1.000[nan]"
"121",1926637,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,3,"B1-B1bz-B1g","4946-53344-29275","0.856[nan]-0.076[nan]-0.068[nan]"
"122",1933512,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,12,"B1-B1g-B1s-B1br-B1bz","4946-29275-51798-53344-44226","0.939[nan]-0.028[nan]-0.019[nan]-0.009[nan]-0.005[nan]"
"123",1929271,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",21,134,"C3/C3bb-C3de-C21ae-C3s-C3an-C21-C3dk","32-2554-982-38767-1354-38269-71161-41","0.345[0.038]-0.181[0.038]-0.121[0.013]-0.116[0.015]-0.069[0.023]-0.064[0.016]-0.057[0.021]-0.046[0.015]"
"124",1930930,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",18,49,"C3/C3de-C21ae-C3bb-C1-C3an-C3s-C21-C3dk","32-2554-2-982-38767-1354-38269-71161-41","0.337[0.068]-0.157[0.038]-0.110[0.067]-0.102[0.024]-0.100[0.029]-0.059[0.017]-0.052[0.015]-0.042[0.013]-0.042[0.025]"
"125",1930313,"C","C3/C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",11,45,"C1/C3-C3de-C1c-C3bb-C21ae-C3an-C21-C3s","32/2-2554-982-308-38767-1354-41-38269","0.332[0.116]/0.285[0.142]-0.090[0.045]-0.067[0.024]-0.055[0.026]-0.049[0.017]-0.046[0.028]-0.044[0.024]-0.032[0.013]"
"126",1930929,"C","C1/C3","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",10,52,"C1/C3-C3de-C1c-C21ae-C3bb-C3an-C3s-C3dk","2/32-2554-38767-308-982-71161-38269-1354","0.348[0.203]/0.244[0.085]-0.098[0.043]-0.081[0.073]-0.070[0.038]-0.056[0.024]-0.036[0.024]-0.036[0.024]-0.030[0.014]"
"127",1933589,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",8,2993,"C1/C3-C1c-C1b-C72k-C1al-C1w","2-308-32-4-835-828-833","0.721[0.042]-0.134[0.023]-0.062[0.064]-0.032[0.006]-0.029[0.004]-0.013[0.005]-0.009[0.002]"
"128",1930925,"C","C3/C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",5,9,"C3/C1-C3de-C21ae-C3bb-C1c","32/2-2554-982-38767-308","0.522[0.183]/0.218[0.134]-0.092[0.039]-0.063[0.027]-0.058[0.017]-0.047[0.029]"
"129",1930973,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",5,13,"C3-C6a-C3y-C23b-C3afp","32-4676-2414-22192-2402","0.812[0.027]-0.077[0.005]-0.044[0.011]-0.037[0.013]-0.030[0.009]"
"130",1927068,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",3,49,"C3-C6a-C3y","32-4676-2414","0.873[0.027]-0.084[0.012]-0.044[0.015]"
"131",1933606,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",2,373,"C1/C3-C1c-C1b-C42.2-C72k-C1bh","2-308-4-32-835-1-831","0.703[0.004]-0.136[0.014]-0.059[0.010]-0.035[0.005]-0.029[0.003]-0.025[0.006]-0.013[0.004]"
"132",1927233,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,24,"C3-C3de-C3bb-C21ae-C3cd-C3an-C3dk-C3s","32-53704-2554-38767-982-71161-1354-38269","0.379[nan]-0.127[nan]-0.120[nan]-0.110[nan]-0.097[nan]-0.058[nan]-0.057[nan]-0.052[nan]"
"133",1931332,"C","C7","None",1,32,"C7","3332","1.000[nan]"
"134",1927237,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,1,"C3-C21-C3an-C3bb-C3s-C3de-C21ae","32-41-1354-982-38269-2554-38767","0.335[nan]-0.238[nan]-0.212[nan]-0.138[nan]-0.050[nan]-0.016[nan]-0.011[nan]"
"135",1931395,"C","C91","None",1,44,"C91","1254","1.000[nan]"
"136",1929903,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,12,"C3-C1bp-C3dg-C3mo-C3df","32-68395-13282-25334-13275","0.641[nan]-0.120[nan]-0.111[nan]-0.069[nan]-0.058[nan]"
"137",1930927,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",1,6,"C1/C3-C1c-C3de-C3bb-C21ae-C3an","2-308-32-2554-982-38767-1354","0.645[nan]-0.133[nan]-0.105[nan]-0.045[nan]-0.042[nan]-0.023[nan]-0.007[nan]"
"138",1930992,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",1,21,"C1-C1c-C3-C1b-C1x-C1lb-C42.2","2-308-4-32-862-1-864","0.752[nan]-0.132[nan]-0.041[nan]-0.026[nan]-0.022[nan]-0.018[nan]-0.009[nan]"
"139",1929458,"C","C3y","None",1,7,"C3xs/C3y","2414-21974","0.500[nan]-0.500[nan]"
"140",1929461,"C","C3xs","None",1,48,"C1nw/C3xs","21974-8064","0.678[nan]-0.322[nan]"
"141",1927988,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",1,728,"C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C3","2-308-4-32-1-848-831-832","0.689[nan]-0.119[nan]-0.071[nan]-0.041[nan]-0.032[nan]-0.018[nan]-0.016[nan]-0.015[nan]"
"142",1927538,"C","C21","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,20,"C3an/C3/C21/C3bb-C21by","41-1354-32-982-71431","0.292[nan]-0.275[nan]-0.206[nan]-0.141[nan]-0.086[nan]"
"143",1929104,"C","C3","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",1,17,"C3/C21/C1","32-41-2","0.581[nan]-0.259[nan]-0.160[nan]"
"144",1929683,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",1,34,"C1/C3/C1c-C1b-C72k","2-308-32-835-4","0.773[nan]-0.100[nan]-0.080[nan]-0.027[nan]-0.020[nan]"
"145",1932332,"D","D1","Durusdinium trenchii",2,8,"D1-D4-D4c-D2-D1ox","853-854-1730-855-22383","0.710[0.011]-0.125[0.004]-0.086[0.002]-0.060[0.006]-0.020[0.001]"
"146",1931786,"D","D1","Durusdinium trenchii",1,219,"D1/D4/D2-D4c-D17d-D17c-D1r-D17e","853-854-1730-2582-855-944-2587-1759","0.666[nan]-0.168[nan]-0.055[nan]-0.028[nan]-0.026[nan]-0.024[nan]-0.017[nan]-0.015[nan]"
"147",1932327,"D","D1","Durusdinium trenchii",1,13,"D1/D4-D4c-D17d-D17j-D17e","853-854-1730-1768-2587-2582","0.518[nan]-0.342[nan]-0.109[nan]-0.011[nan]-0.011[nan]-0.009[nan]"
"148",1933535,"D","D1","Durusdinium trenchii",1,721,"D1-D4-D4c-D2-D1c-D17d-D17c-D1r-D17e","853-854-1730-2308-855-2582-944-2587-1759","0.635[nan]-0.187[nan]-0.048[nan]-0.045[nan]-0.034[nan]-0.019[nan]-0.013[nan]-0.011[nan]-0.007[nan]"
"149",1932614,"D","D1","Durusdinium trenchii",1,13,"D1-D4-D2-D4c-D1k-D1h","853-854-1730-855-12730-1752","0.730[nan]-0.120[nan]-0.079[nan]-0.048[nan]-0.017[nan]-0.005[nan]"
"150",1932152,"D","D1","Durusdinium trenchii",1,88,"D1-D4-D4c-D1c-D17ao-D17ap-D17ar-D17aq","853-854-1730-2308-2102-2131-908-2795","0.638[nan]-0.182[nan]-0.071[nan]-0.045[nan]-0.027[nan]-0.017[nan]-0.012[nan]-0.009[nan]"
"151",1932218,"D","D1","Durusdinium trenchii",1,16,"D1-D4-D4c-D1c-D17d-D17c","853-854-1730-2308-2582-1759","0.666[nan]-0.164[nan]-0.064[nan]-0.049[nan]-0.031[nan]-0.026[nan]"
"152",1933373,"G","G3b","None",1,4,"G3b-G3al","56961-1337491","0.522[nan]-0.478[nan]"
"153",1933303,"G","G3b","None",1,14,"G3b/G3al/G3bd-G3ay","56961-1337492-1337518-1337491","0.617[nan]-0.158[nan]-0.133[nan]-0.092[nan]"
"154",1917139,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",16,21,"A3-A3ah-A3ga","22385-36733-6483645","0.934[0.015]-0.044[0.005]-0.023[0.011]"
"155",1916725,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",14,35,"A3/A4/A4a","22385/29206-40166","0.763[0.243]/0.186[0.187]-0.051[0.058]"
"156",1917143,"A","A3/A13","Symbiodinium natans,Symbiodinium necroappetens,Symbiodinium tridacnidorum",14,39,"A3/A4/A13-A4a","22385/8181-29206-40166","0.741[0.219]-0.112[0.089]/0.105[0.236]-0.043[0.024]"
"157",1916878,"A","A3bb/A3bt","None",11,335,"A3bb/A3bt","","0.557[0.068]/0.443[0.068]"
"158",1917141,"A","A3/A13","Symbiodinium natans,Symbiodinium necroappetens,Symbiodinium tridacnidorum",9,19,"A3/A13/A4","22385/8181-29206","0.730[0.270]/0.217[0.274]-0.053[0.047]"
"159",1917145,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",7,15,"A3/A4/A4a-A4d","22385-29206-40166-29900","0.777[0.071]-0.131[0.069]-0.065[0.032]-0.027[0.010]"
"160",1917160,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",6,11,"A3/A4-A4fe-A4fo","22385/29206-318716-136549","0.639[0.335]/0.218[0.235]-0.095[0.098]-0.047[0.026]"
"161",1916480,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",5,57,"A3-A3m","22385-363106","0.959[0.008]-0.041[0.008]"
"162",1917296,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",4,232,"A3","22385","1.000[0.000]"
"163",1917140,"A","A4","None",3,4,"A4-A4a-A4fl","29206-40166-30201","0.693[0.007]-0.260[0.006]-0.047[0.001]"
"164",1917158,"A","A4","None",3,6,"A4-A4fe-A4fm","29206-318716-6483651","0.753[0.028]-0.190[0.004]-0.057[0.028]"
"165",1917159,"A","A4","None",3,5,"A4-A4fe-A4fo-A4fn","29206-318716-136549-59064","0.403[0.025]-0.233[0.033]-0.196[0.049]-0.168[0.021]"
